nRegisto,dci,nome_medicamento,forma_farmaceutica,dosagem,tamanho_embalagem,cnpem,pricePVP,pricePVPnotified,priceUtente,pricePensionist,commercialized,isGeneric,infoUrl
2203099,Ticlopidina,Ticlopidina GP,Comprimido revestido por película,250 mg,60 unidade(s),50007130,"€ 9,97",,"€ 3,77","€ 1,44",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=587213f06d6211e28edafc34f74670c7
4423992,Ticlopidina,Ticlopidina ToLife 250 mg Comprimidos,Comprimido revestido,250 mg,60 unidade(s),50007130,"€ 9,97",,"€ 3,77","€ 1,44",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=25cb02006dac11e2ad73b8dc96470b78
3671898,Ticlopidina,Ticlopidina Trombopat 250 mg Comprimidos Revestidos,Comprimido revestido por película,250 mg,60 unidade(s),50007130,"€ 9,97",,"€ 3,77","€ 1,44",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=051059006d6811e2a152fb7a1a01cae6
3094885,Ticlopidina,Ticlopidina-ratiopharm,Comprimido revestido,250 mg,60 unidade(s),50007130,"€ 9,97",,"€ 3,77","€ 1,44",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=0f93c4506d5b11e2a214a443198ef969
5891585,Bimatoprost + Timolol,Ganfort,"Colírio, solução",0.3 mg/ml + 5 mg/ml,1 unidade(s) - 3 ml,50109774,"€ 16,41",,"€ 1,64","€ 0,82",Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=1c667ec06dba11e29df2927554288539
5581640,Bimatoprost + Timolol,Ganfort,"Colírio, solução em recipiente unidose",0.3 mg/ml + 5 mg/ml,30 unidade(s) - .4 ml,50139649,"€ 19,36",,"€ 1,94","€ 0,97",Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=fb6e64c0242611e3a6509c62a06fe066
9883306,Óleo essencial de Tomilho + Tintura de Benjoim + Tintura de Eucalipto,Vaporil,Solução para inalação por vaporização,Associação,1 unidade(s) - 100 ml,50088408,preço livre,,,,Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=7086e0506d6811e2b38dc16ed892a050
2836880,Tinzaparina sódica,Innohep,Solução injetável,2500 U.I. Anti-Xa/0.25 ml,10 unidade(s) - .25 ml,50099540,"€ 21,70",,"€ 6,73","€ 3,47",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=14880ca06d8311e29fa2d20b30f3744b
2836682,Tinzaparina sódica,Innohep,Solução injetável,3500 U.I. Anti-Xa/0.35 ml,10 unidade(s) - .35 ml,50099507,"€ 26,55",,"€ 8,23","€ 4,25",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=12b262406d8311e28bfea2461d66f363
2837086,Tinzaparina sódica,Innohep,Solução injetável,4500 U.I. Anti-Xa/0.45 ml,10 unidade(s) - .45 ml,50076540,"€ 40,87",,"€ 12,67","€ 6,54",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=361c67b06d6211e28770a5c62824463b
5758842,Tinzaparina sódica,Innohep,Solução injetável,8000 U.I. Anti-Xa/0.4 ml,10 unidade(s) - .4 ml,50174614,"€ 64,58",,"€ 20,02","€ 10,33",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=123a5f90086611e5b2679511746ce113
2816882,Tinzaparina sódica,Innohep,Solução injetável,10000 U.I. Anti-Xa/0.5 ml,10 unidade(s) - .5 ml,50118862,"€ 85,75",,"€ 26,58","€ 13,72",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=549f4a206d9b11e2a69cb810d6f445b9
2817484,Tinzaparina sódica,Innohep,Solução injetável,14000 U.I. Anti-Xa/0.7 ml,10 unidade(s) - .7 ml,50118927,"€ 104,42",,"€ 32,37","€ 16,71",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=57039ff06d9b11e2a752fda55ab548df
2818086,Tinzaparina sódica,Innohep,Solução injetável,18000 U.I. Anti-Xa/0.9 ml,10 unidade(s) - .9 ml,50118986,"€ 118,99",,"€ 36,89","€ 19,04",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=56ee1c206d9b11e2bc23848cf514c096
5247226,Tioconazol,Terbul,Creme,10 mg/g,1 unidade(s) - 30 g,50017195,"€ 3,03",,"€ 1,91","€ 0,15",Comerc.Comercializado,True,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=40fa1aa06d9a11e29fb6c752eff24849
8620401,Tioconazol,Trosyd,Solução cutânea,280 mg/ml,1 unidade(s) - 12 ml,50017217,"€ 11,19",,"€ 7,05","€ 5,37",Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=079aad606d6811e295aed741ffe7d264
8587816,Tioconazol,Trosyd,Creme,10 mg/g,1 unidade(s) - 30 g,50017195,preço livre,,,,Comerc.Comercializado,False,http://extranet.infarmed.pt/INFOMED-fo/detalhes-medicamento.xhtml?med_guid=f43fe1506c8a11e2b741db632a4f10c0
0,,,,,,0,,,,,,False,
