nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Clift,Acetato de glatirâmero,Solução injetável em seringa pré-cheia,40 mg/ml,Viatris Limited,Autorizado,,,,,Não,,631262,,,,
Copaxone,Acetato de glatirâmero,Solução injetável,20 mg/1 ml,Teva GmbH,Autorizado,,,,,Não,,37219,,,,
Copaxone,Acetato de glatirâmero,Solução injetável em seringa pré-cheia,40 mg/ml,Teva GmbH,Autorizado,,,,,Não,,574961,,,,
Wilzin,Acetato de zinco,Cápsula,25 mg,Recordati Rare Diseases,Autorizado,,,,,Não,,35943,,,,
Wilzin,Acetato de zinco,Cápsula,50 mg,Recordati Rare Diseases,Autorizado,,,,,Não,,35966,,,,
Carbinib,Acetazolamida,Comprimido,250 mg,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,1444,,,,
Acetilcisteína AlterMG,Acetilcisteína,Comprimido efervescente,600 mg,"Alter, S.A.",Autorizado,,,,,Não,,672024,,,,
Acetilcisteína AzevedosMG,Acetilcisteína,Comprimido efervescente,600 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Autorizado,,,,,Não,,611903,,,,
Acetilcisteína Azevedos,Acetilcisteína,Solução oral,40 mg/ml,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Autorizado,,,,,Não,,619803,,,,
Acetilcisteína BluepharmaMG,Acetilcisteína,Comprimido efervescente,600 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Autorizado,,,,,Não,,579320,,,,
Acetilcisteína ExxelirMG,Acetilcisteína,Comprimido efervescente,600 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,41430,,,,
Acetilcisteína LiboranMG,Acetilcisteína,Comprimido efervescente,600 mg,"Towa Pharmaceutical, S.A.",Autorizado,,,,,Não,,45119,,,,
Acetilcisteína PharmakernMG,Acetilcisteína,Comprimido efervescente,600 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Autorizado,,,,,Não,,49103,,,,
Acetilcisteína SandozMG,Acetilcisteína,Comprimido efervescente,600 mg,"Sandoz Farmacêutica, Lda.",Autorizado,,,,,Não,,40084,,,,
Acetilcisteína TussileneMG,Acetilcisteína,Comprimido efervescente,600 mg,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Autorizado,,,,,Não,,38804,,,,
Acetilcisteína Tussilene,Acetilcisteína,Solução oral,40 mg/ml,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Autorizado,,,,,Não,,631166,,,,
Acetilcisteína Vitória,Acetilcisteína,Comprimido efervescente,600 mg,"Faes Farma Portugal, S.A.",Autorizado,,,,,Não,,611485,,,,
Fluimucil,Acetilcisteína,Comprimido efervescente,600 mg,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,3548,,,,
Fluimucil,Acetilcisteína,Concentrado para solução para perfusão,200 mg/ml,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,3550,,,,
Fluimucil,Acetilcisteína,Granulado para solução oral,200 mg,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,3552,,,,
Fluimucil,Acetilcisteína,Solução injetável,300 mg/3 ml,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,3549,,,,
Fluimucil 2%,Acetilcisteína,Solução oral,20 mg/ml,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,30252,,,,
Fluimucil 4%,Acetilcisteína,Solução oral,40 mg/ml,"Zambon - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,36370,,,,
FluproxMG,Acetilcisteína,Comprimido efervescente,600 mg,"Cuidafarma, Lda.",Autorizado,,,,,Não,,621342,,,,
PuldrenMG,Acetilcisteína,Solução oral,20 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Autorizado,,,,,Não,,630743,,,,
PuldrenMG,Acetilcisteína,Solução oral,40 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Autorizado,,,,,Não,,630744,,,,
ZentorantMG,Acetilcisteína,Comprimido efervescente,600 mg,"Zentiva Portugal, Lda.",Autorizado,,,,,Não,,644544,,,,
Ekzem,Acetonido de fluocinolona,"Gotas auriculares, solução em recipiente unidose",0.1 mg/0.4 ml,"Laboratorios Salvat, S.A.",Autorizado,,,,,Não,,623973,,,,
Iluvien,Acetonido de fluocinolona,Implante intravítreo em aplicador,190 µg,Alimera Sciences Europe Limited,Autorizado,,,,,Não,,52065,,,,
Synalar,Acetonido de fluocinolona,Creme,0.25 mg/g,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,8203,,,,
Cetraxal Duo,Acetonido de fluocinolona + Ciprofloxacina,"Gotas auriculares, solução",0.25 mg/ml + 3 mg/ml,"Laboratorios Salvat, S.A.",Autorizado,,,,,Não,,631767,,,,
Cetraxal Duo,Acetonido de fluocinolona + Ciprofloxacina,"Gotas auriculares, solução em recipiente unidose",Associação,"Laboratorios Salvat, S.A.",Autorizado,,,,,Não,,631768,,,,
Synalar Rectal,Acetonido de fluocinolona + Lidocaína + Subgalhato de bismuto,Pomada retal,Associação,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,8206,,,,
Synalar N,Acetonido de fluocinolona + Neomicina,Creme,3.5 mg + 0.25 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,8204,,,,
Oto-Synalar N,Acetonido de fluocinolona + Neomicina + Polimixina B,"Gotas auriculares, solução",Associação,"DAVI II - Farmacêutica, S.A.",Autorizado,,,,,Não,,6535,,,,
Aciclosina,Aciclovir,Creme,50 mg/g,"Laboratórios Atral, S.A.",Autorizado,,,,,Não,,37,,,,
Aciclovir AltanMG,Aciclovir,Pó para solução para perfusão,250 mg,"Altan Pharmaceuticals, S.A.",Autorizado,,,,,Não,,670604,,,,
