nomeComercial,substanciaAtiva,formaFarmaceutica,dosagem,titularAIM,aimStatus,dispensacaoClass,viasAdministracao,isGeneric,margemTerapeuticaEstreita,comercializado,nRegisto,cnpem,pricePVP,detailUrl,fiUrl,rcmUrl
Myfortic,Ácido micofenólico,Comprimido gastrorresistente,360 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,37300,,,,
Calicida Indiano,Ácido salicílico,Pomada,270 mg/g,"Sociedade Farmacêutica Gestafarma, Lda.",Autorizado,,,,,Não,,1372,,,,
Calicida Moreno,Ácido salicílico,Solução cutânea,83 mg/ml,"Farmácia Moreno, Lda",Autorizado,,,,,Não,,1377,,,,
Pedicol,Ácido salicílico,Solução cutânea,100 mg/ml,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",Autorizado,,,,,Não,,48973,,,,
Verrufilm,Ácido salicílico,Solução cutânea,167 mg/g,"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,9118,,,,
Calicida Indiano,Ácido salicílico + Ácido láctico,Solução cutânea,193 mg/ml + 232 mg/ml,"Sociedade Farmacêutica Gestafarma, Lda.",Autorizado,,,,,Não,,1373,,,,
Actikerall,Ácido salicílico + Fluorouracilo,Solução cutânea,100 mg/g + 5 mg/g,Almirall Hermal GmbH,Autorizado,,,,,Não,,55937,,,,
Verrucare,Ácido salicílico + Fluorouracilo,Solução cutânea,100 mg/ml + 5 mg/ml,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Autorizado,,,,,Não,,9116,,,,
Verrumal,Ácido salicílico + Fluorouracilo,Solução cutânea,100 mg/ml + 5 mg/ml,Almirall Hermal GmbH,Autorizado,,,,,Não,,9119,,,,
Bálsamo Analgésico,Ácido salicílico + Mentol + Nicotinato de benzilo,Creme,65 mg/g + 5 mg/g + 10 mg/g,"Sociedade Farmacêutica Gestafarma, Lda.",Autorizado,,,,,Não,,5826,,,,
Pyralvex,Ácido salicílico + Ruibarbo,Solução bucal,10 mg/ml + 50 mg/ml,Cooper Consumer Health B.V.,Autorizado,,,,,Não,,7291,,,,
Bálsamo Analgésico Sanitas,Ácido salicílico + Salicilato de metilo + Capsaícina + Mentol,Pomada,Associação,"CS Portugal - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,795,,,,
AtaxanicMG,Ácido tranexâmico,Solução injetável,100 mg/ml,"Neogen, N.V.",Autorizado,,,,,Não,,661504,,,,
MedsamicMG,Ácido tranexâmico,Solução injetável,100 mg/ml,Medochemie Ltd.,Autorizado,,,,,Não,,673324,,,,
TafixylMG,Ácido tranexâmico,Comprimido revestido por película,500 mg,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Autorizado,,,,,Não,,606502,,,,
TafixylMG,Ácido tranexâmico,Solução injetável,100 mg/ml,"Pharma Bavaria Internacional (PBI) Portugal, Unipessoal Lda.",Autorizado,,,,,Não,,584682,,,,
Ursofalk,Ácido ursodesoxicólico,Cápsula,250 mg,"Dr. Falk Pharma Portugal, Sociedade Unipessoal, Lda.",Autorizado,,,,,Não,,8950,,,,
Ursofalk,Ácido ursodesoxicólico,Comprimido revestido por película,500 mg,"Dr. Falk Pharma Portugal, Sociedade Unipessoal, Lda.",Autorizado,,,,,Não,,582526,,,,
Ácido Valpróico GenerisMG,Ácido valpróico,Comprimido de libertação prolongada,300 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,38031,,,,
Ácido Valpróico GenerisMG,Ácido valpróico,Comprimido de libertação prolongada,500 mg,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,38030,,,,
Ácido valpróico GenerisMG,Ácido valpróico,Solução oral,200 mg/ml,"Generis Farmacêutica, S.A.",Autorizado,,,,,Não,,640043,,,,
Ácido Valpróico Ratiopharm 300 mg Comprimidos de libertação prolongadaMG,Ácido valpróico,Comprimido de libertação prolongada,300 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,41700,,,,
Ácido Valpróico Ratiopharm 500 mg Comprimidos de libertação prolongadaMG,Ácido valpróico,Comprimido de libertação prolongada,500 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,41701,,,,
Depakine,Ácido valpróico,Solução oral,200 mg/ml,"Sanofi - Produtos Farmacêuticos, Lda.",Autorizado,,,,,Não,,2413,,,,
